yearID,teamID,name
1926,WS1,Washington Senators
1927,BOS,Boston Red Sox
1927,BRO,Brooklyn Robins
1927,BSN,Boston Braves
1927,CHA,Chicago White Sox
1927,CHN,Chicago Cubs
1927,CIN,Cincinnati Reds
1927,CLE,Cleveland Indians
1927,DET,Detroit Tigers
1927,NY1,New York Giants
1927,NYA,New York Yankees
1927,PHA,Philadelphia Athletics
1927,PHI,Philadelphia Phillies
1927,PIT,Pittsburgh Pirates
1927,SLA,St. Louis Browns
1927,SLN,St. Louis Cardinals
1927,WS1,Washington Senators
1928,BOS,Boston Red Sox
1928,BRO,Brooklyn Robins
1928,BSN,Boston Braves
1928,CHA,Chicago White Sox
1928,CHN,Chicago Cubs
1928,CIN,Cincinnati Reds
1928,CLE,Cleveland Indians
1928,DET,Detroit Tigers
1928,NY1,New York Giants
1928,NYA,New York Yankees
1928,PHA,Philadelphia Athletics
