playerID,nameFirst,nameLast,nameGiven
baconed01,Eddie,Bacon,Edgar Suter
bacsimi01,Mike,Bacsik,Michael James
bacsimi02,Mike,Bacsik,Michael Joseph
baczefr01,Fred,Baczewski,Frederic John
badenbu01,Burke,Badenhop,Burke Heinrich
baderar01,Art,Bader,Arthur Herman
baderlo01,King,Bader,Lore Verne
badgrre01,Red,Badgro,Morris Hiram
baeched01,Ed,Baecht,Edward Joseph
baekch01,Cha-Seung,Baek,Cha-Seung
baergca01,Carlos,Baerga,Carlos Obed
baezbe01,Benito,Baez,Benito
baezda01,Danys,Baez,Danys G.
baezja01,Javier,Baez,Ednel Javier
baezjo01,Jose,Baez,Jose Antonio
baezke01,Kevin,Baez,Kevin Richard
baezpe01,Pedro,Baez,Pedro Alberys
bagbyji01,Jim,Bagby,James Charles Jacob
bagbyji02,Jim,Bagby,James Charles Jacob
bagwebi01,Bill,Bagwell,William Mallory
bagweje01,Jeff,Bagwell,Jeffrey Robert
bahnsst01,Stan,Bahnsen,Stanley Raymond
bahred01,Ed,Bahr,Edson Garfield
bahrefr01,Frank,Bahret,Franklin F.
baichgr01,Grover,Baichley,Grover Cleveland
bailean01,Andrew,Bailey,Andrew Scott
bailebi01,Bill,Bailey,William F.
bailebi02,Bill,Bailey,Harry Lewis
bailebo01,Bob,Bailey,Robert Sherwood
baileco01,Cory,Bailey,Philip Cory
baileed01,Ed,Bailey,Lonas Edgar
bailefr01,Fred,Bailey,Frederick Middleton
bailege01,Gene,Bailey,Arthur Eugene
baileha01,Harvey,Bailey,Harvey Francis
baileho01,Howard,Bailey,Howard Lee
baileho02,Homer,Bailey,David Dewitt
baileje01,Jeff,Bailey,Jeffrey Todd
baileji01,Jim,Bailey,James Hopkins
baileki01,King,Bailey,Linwood Clifton
bailema01,Mark,Bailey,John Mark
bailero01,Roger,Bailey,Charles Roger
bailesc01,Scott,Bailes,Scott Alan
bailest01,Steve,Bailey,Steven John
bailesw01,Sweetbread,Bailey,Abraham Lincoln
bailobo01,Bob,Bailor,Robert Michael
